cntntsSn,disease
5423,감기
6543,객혈
1344,건선
6561,결핵
5463,골절
5841,구취
5493,기흉
1743,낙상
5226,노안
6670,동상
5830,두통
5705,목쉼
6702,발치
5827,변비
1081,복통
6544,부종
6694,비만
1104,빈혈
6772,사시
1667,설사
6444,수혈
5694,습진
5853,실신
5679,열상
5441,염좌
3796,요통
6587,욕창
5293,운동
6777,위염
5297,음주
5706,이명
5430,입덧
6583,조산
5960,질염
6784,천식
6288,충치
5818,치핵
6551,탈수
6732,통풍
6538,피임
6584,화상
5462,황달
5337,흉통
6764,흡연
1241,간농양
2367,건막염
5304,고혈당
6765,고혈압
5290,골수염
6786,구개열
5485,구내염
6690,녹내장
2087,농가진
5961,뇌전증
5495,뇌졸중
5860,다한증
5821,담관염
5820,담낭염
6735,담석증
5305,당뇨병
6252,딸꾹질
6303,라임병
6696,말더듬
5357,모소낭
6685,무월경
6304,미숙아
5968,방광염
6689,백내장
6699,백반증
5688,백선증
6676,백일해
6749,변실금
1102,부정맥
5285,불명열
5429,불임증
5714,사랑니
6537,사마귀
5698,생리통
6259,성폭력
5317,성홍열
6545,손씻기
5239,식중독
5859,실어증
2967,심낭염
3828,심부전
6307,심잡음
1141,액취증
6313,야토병
6550,어지럼
3947,여드름
6762,영양제
5822,요실금
5347,요충증
6788,우울감
2247,위용종
5811,유루증
5683,유방통
6302,유비저
5680,유선염
6315,이갈이
6154,입냄새
5341,장결핵
5224,저시력
5415,저신장
5259,저혈압
5480,조루증
3568,중이염
5852,직장염
5248,췌장염
5362,코골이
6776,파상풍
6755,패혈증
6314,페스트
5707,편도염
6557,편두통
5350,편충증
6687,폐경기
3167,폐부종
5529,포충증
6246,폴리오
6475,항생제
6317,혈관종
6566,협심증
5338,회충증
5695,가려움증
6560,간경변증
1281,간접흡연
6294,간흡충증
1322,갑상선염
6752,건강노화
1738,골감소증
1988,골관절염
5833,골다공증
6542,근관치료
5963,뇌동맥류
6569,뇌성마비
5284,뇌수막염
6579,다태임신
1746,대동맥류
6531,대장용종
5220,덧눈꺼풀
6,두근거림
6581,두드러기
5703,만성비염
5245,말라리아
6319,망막박리
5824,발기부전
6707,복막투석
5543,부위마취
6572,불소도포
5528,사상충증
5525,샤가스병
1729,성대결절
1807,성조숙증
5729,소아발진
6263,소화불량
5838,수질오염
6769,시신경염
6693,식이영양
5433,신장결석
6533,아동학대
5527,악구충증
5857,안면홍조
5806,알레르기
4027,언어장애
1201,얼굴마비
5311,연성하감
1587,외이도염
6674,요로감염
6700,원형탈모
5258,위내시경
5685,유두분비
5686,유방종괴
6757,음낭수종
5500,일광화상
6247,일본뇌염
6190,자궁근종
6686,자연유산
5364,잠복고환
5343,장흡충증
3690,저체온증
6565,전신마취
6454,정관수술
5701,질분비물
6705,치석제거
3749,켈로이드
5809,파킨슨병
5339,폐흡충증
6468,포경수술
6773,포도막염
6465,혈액투석
6703,홈메우기
5269,황반변성
1301,갈색세포종
6555,강직척추염
5242,고칼슘혈증
5704,구강건조증
1741,급성고환염
6754,남성갱년기
5489,노인성난청
6535,다운증후군
6781,대사증후군
3447,대장게실증
5291,디프테리아
5457,만성콩팥병
5964,메니에르병
1750,발진티푸스
6564,방사선치료
5257,부신부전증
1101,비부비동염
6541,사구체질환
5826,섬유근육통
6736,세기관지염
2552,식도정맥류
6226,심폐소생술
6306,안구건조증
